"","OpCode","sea","species","MaxN","depth","temperature","lat_y","lon_x"
"1","isrnort010920A","red","Seriola dumerili",3,123,22,29.534283,34.954783
"2","isrnort010920A","red","Thamnaconus erythraeensis",3,123,22,29.534283,34.954783
"3","isrnort010920A","red","Tetrosomus gibbosus",1,123,22,29.534283,34.954783
"4","isrnort010920A","red","Variola louti",1,123,22,29.534283,34.954783
"5","isrnort010920A","red","Argyrops megalommatus",2,123,22,29.534283,34.954783
"6","isrnort010920B","red","Chaetodon paucifasciatus",2,106,23,29.533467,34.958767
"7","isrnort010920B","red","Bodianus anthioides",2,106,23,29.533467,34.958767
"8","isrnort010920B","red","Lethrinus mahsena",1,106,23,29.533467,34.958767
"9","isrnort010920B","red","Gymnothorax elegans",1,106,23,29.533467,34.958767
"10","isrnort010920B","red","Epinephelus fasciatus",1,106,23,29.533467,34.958767
"11","isrnort010920C","red","Parupeneus heptacanthus",1,80.6,24,29.5352,34.959617
"12","isrnort010920C","red","Tetrosomus gibbosus",5,80.6,24,29.5352,34.959617
"13","isrnort010920C","red","Pterois miles",1,80.6,24,29.5352,34.959617
"14","isrnort010920D","red","Naso unicornis",1,62.2,28,29.536483,34.963933
"15","isrnort010920D","red","Cyclichthys spilostylus",1,62.2,28,29.536483,34.963933
"16","isrnort010920D","red","Fistularia commersonii",1,62.2,28,29.536483,34.963933
"17","isrnort010920D","red","Choerodon robustus",1,62.2,28,29.536483,34.963933
"18","isrnort010920D","red","Gymnocranius grandoculis",1,62.2,28,29.536483,34.963933
"19","isrnort010920D","red","Lethrinus nebulosus",1,62.2,28,29.536483,34.963933
"20","isrnort010920D","red","Parupeneus forsskali",11,62.2,28,29.536483,34.963933
"21","isrnort010920D","red","Parupeneus heptacanthus",1,62.2,28,29.536483,34.963933
"22","isrnort010920D","red","Tetrosomus gibbosus",4,62.2,28,29.536483,34.963933
"23","isrnort010920E","red","Abalistes stellatus",1,43.6,28,29.539467,34.967567
