"","fish.model","fish.mean_fun","fish.err_dist","fish.s1","fish.s2","fish.q","fish.p","fish.b","sponges.model","sponges.mean_fun","sponges.err_dist","sponges.s1","sponges.s2","sponges.q","sponges.p","sponges.b","stony.corals.model","stony.corals.mean_fun","stony.corals.err_dist","stony.corals.s1","stony.corals.s2","stony.corals.q","stony.corals.p","stony.corals.b","soft.corals.model","soft.corals.mean_fun","soft.corals.err_dist","soft.corals.s1","soft.corals.s2","soft.corals.q","soft.corals.p","soft.corals.b"
"10","gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA,"gaussian_negbin","gaussian","negbin",NA,NA,NA,NA,NA
"12","gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA,"gaussian_zinb","gaussian","zinb",NA,NA,NA,NA,NA
"18","hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA,"hofV_negbin","hofV","negbin",NA,NA,NA,NA,NA
"2","beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA,"beta_negbin","beta","negbin",NA,NA,NA,NA,NA
"16","gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA,"gaussian_zinbl.mu","gaussian","zinbl.mu",NA,NA,NA,NA,NA
"14","gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA,"gaussian_zinbl","gaussian","zinbl",NA,NA,NA,NA,NA
"42","sech_negbin","sech","negbin",NA,NA,NA,1.06241488680056,NA,"sech_negbin","sech","negbin",NA,NA,NA,1.06241488680056,NA,"sech_negbin","sech","negbin",NA,NA,NA,1.06241488680056,NA,"sech_negbin","sech","negbin",NA,NA,NA,1.06241488680056,NA
"44","sech_zinb","sech","zinb",NA,NA,NA,0.0996892827987843,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0996892827987843,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0996892827987843,NA,"sech_zinb","sech","zinb",NA,NA,NA,0.0996892827987843,NA
"20","hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA,"hofV_zinb","hofV","zinb",NA,NA,NA,NA,NA
"4","beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA,"beta_zinb","beta","zinb",NA,NA,NA,NA,NA
"26","mixgaussian_negbin","mixgaussian","negbin",29.972923968284,5.82939962335825,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",29.972923968284,5.82939962335825,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",29.972923968284,5.82939962335825,NA,NA,NA,"mixgaussian_negbin","mixgaussian","negbin",29.972923968284,5.82939962335825,NA,NA,NA
"28","mixgaussian_zinb","mixgaussian","zinb",37.8058199296919,0.00478050085906313,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",37.8058199296919,0.00478050085906313,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",37.8058199296919,0.00478050085906313,NA,NA,NA,"mixgaussian_zinb","mixgaussian","zinb",37.8058199296919,0.00478050085906313,NA,NA,NA
"36","modskurt_zinb","modskurt","zinb",NA,NA,0.997534375845468,0.000928924240208563,0.953892960174957,"modskurt_zinb","modskurt","zinb",NA,NA,0.997534375845468,0.000928924240208563,0.953892960174957,"modskurt_zinb","modskurt","zinb",NA,NA,0.997534375845468,0.000928924240208563,0.953892960174957,"modskurt_zinb","modskurt","zinb",NA,NA,0.997534375845468,0.000928924240208563,0.953892960174957
"22","hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA,"hofV_zinbl","hofV","zinbl",NA,NA,NA,NA,NA
"24","hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA,"hofV_zinbl.mu","hofV","zinbl.mu",NA,NA,NA,NA,NA
"6","beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA,"beta_zinbl","beta","zinbl",NA,NA,NA,NA,NA
"8","beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA,"beta_zinbl.mu","beta","zinbl.mu",NA,NA,NA,NA,NA
"48","sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,622520.884114916,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,622520.884114916,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,622520.884114916,NA,"sech_zinbl.mu","sech","zinbl.mu",NA,NA,NA,622520.884114916,NA
"46","sech_zinbl","sech","zinbl",NA,NA,NA,14.4523685318651,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,14.4523685318651,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,14.4523685318651,NA,"sech_zinbl","sech","zinbl",NA,NA,NA,14.4523685318651,NA
"40","modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.00010237682284467,0.000941430468743224,0.880744204958529,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.00010237682284467,0.000941430468743224,0.880744204958529,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.00010237682284467,0.000941430468743224,0.880744204958529,"modskurt_zinbl.mu","modskurt","zinbl.mu",NA,NA,0.00010237682284467,0.000941430468743224,0.880744204958529
"34","modskurt_negbin","modskurt","negbin",NA,NA,0.0310248568798282,4.66750183382648e-06,0.0908547117049077,"modskurt_negbin","modskurt","negbin",NA,NA,0.0310248568798282,4.66750183382648e-06,0.0908547117049077,"modskurt_negbin","modskurt","negbin",NA,NA,0.0310248568798282,4.66750183382648e-06,0.0908547117049077,"modskurt_negbin","modskurt","negbin",NA,NA,0.0310248568798282,4.66750183382648e-06,0.0908547117049077
"38","modskurt_zinbl","modskurt","zinbl",NA,NA,1.36045899981311e-05,18.6893566237155,0.825050907145328,"modskurt_zinbl","modskurt","zinbl",NA,NA,1.36045899981311e-05,18.6893566237155,0.825050907145328,"modskurt_zinbl","modskurt","zinbl",NA,NA,1.36045899981311e-05,18.6893566237155,0.825050907145328,"modskurt_zinbl","modskurt","zinbl",NA,NA,1.36045899981311e-05,18.6893566237155,0.825050907145328
"32","mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",40.7441817453853,96.7247447141183,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",40.7441817453853,96.7247447141183,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",40.7441817453853,96.7247447141183,NA,NA,NA,"mixgaussian_zinbl.mu","mixgaussian","zinbl.mu",40.7441817453853,96.7247447141183,NA,NA,NA
"30","mixgaussian_zinbl","mixgaussian","zinbl",25.3061075652327,1.56630459919006,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",25.3061075652327,1.56630459919006,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",25.3061075652327,1.56630459919006,NA,NA,NA,"mixgaussian_zinbl","mixgaussian","zinbl",25.3061075652327,1.56630459919006,NA,NA,NA
"9","gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA,"gaussian_poisson","gaussian","poisson",NA,NA,NA,NA,NA
"11","gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA,"gaussian_zip","gaussian","zip",NA,NA,NA,NA,NA
"17","hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA,"hofV_poisson","hofV","poisson",NA,NA,NA,NA,NA
"1","beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA,"beta_poisson","beta","poisson",NA,NA,NA,NA,NA
